prosumer,hour,p_ch,p_dis,action
6,15,1.0211708333333336,0.0,0.13615611111111114
6,16,0.0,0.0,0.0
6,17,0.0,0.30724561403508766,-0.04096608187134502
6,18,0.0,0.07396491228070179,-0.009861988304093572
6,19,0.0,0.42691228070175313,-0.056921637426900415
6,20,0.0,0.6907719298245611,-0.09210292397660816
6,21,0.0,0.9741754385964922,-0.1298900584795323
6,22,0.0,0.8353333333333328,-0.11137777777777771
6,23,0.0,0.7714561403508764,-0.10286081871345018
7,0,0.0,0.0,0.0
7,1,0.0,0.0,0.0
7,2,0.0,0.0,0.0
7,3,0.0,0.0,0.0
7,4,0.0,0.0,0.0
7,5,0.0,0.0,0.0
7,6,0.0,1.6876828921644202,-0.2250243856219227
7,7,0.0,0.0,0.0
7,8,0.28563333333333407,0.0,0.038084444444444546
7,9,0.9706783333333329,0.0,0.12942377777777772
7,10,0.0,0.0,0.0
7,11,1.7546500000000007,0.0,0.23395333333333343
7,12,1.554801781260334,0.0,0.20730690416804454
7,13,1.7315333333333331,0.0,0.23087111111111108
7,14,1.444253333333334,0.0,0.19256711111111122
7,15,0.6596799999999998,0.0,0.0879573333333333
7,16,0.5144026499929417,0.0,0.06858701999905889
7,17,0.0,0.49673684210526314,-0.06623157894736842
7,18,0.0,1.1116315789473683,-0.1482175438596491
7,19,0.0,0.026456140350877178,-0.003527485380116957
7,20,0.0,0.11210526315789426,-0.014947368421052569
7,21,0.0,1.4765964912280687,-0.1968795321637425
7,22,0.0,2.629929824561404,-0.3506573099415205
7,23,0.0,1.3744937320713113,-0.18326583094284152
8,0,0.0,0.0,0.0
8,1,0.0,0.0,0.0
8,2,0.0,0.0,0.0
8,3,0.0,0.0,0.0
8,4,0.0,0.0,0.0
8,5,0.0,0.0,0.0
8,6,0.0,0.0,0.0
8,7,0.0,0.0,0.0
8,8,0.16181666666666672,0.0,0.06472666666666668
8,9,0.23795916666666672,0.0,0.0951836666666667
8,10,0.4111125000000002,0.0,0.1644450000000001
8,11,1.0319078386312366,0.0,0.41276313545249466
8,12,0.539315,0.0,0.215726
8,13,0.421451666666667,0.0,0.1685806666666668
8,14,0.34926749999999984,0.0,0.13970699999999994
8,15,0.1272366666666671,0.0,0.050894666666666845
8,16,0.15106583333333345,0.0,0.06042633333333338
8,17,0.0,0.0,0.0
8,18,0.0,0.19049122807017582,-0.07619649122807033
8,19,0.0,0.31907017543859606,-0.12762807017543842
8,20,0.0,1.0830626631926399,-0.43322506527705595
8,21,0.0,0.5330877192982455,-0.2132350877192982
8,22,0.0,0.6320175438596491,-0.25280701754385965
8,23,0.0,0.6734035087719299,-0.26936140350877197
9,0,0.0,0.0,0.0
9,1,0.0,0.0,0.0
9,2,1.3139450331023426,0.0,0.2627890066204685
9,3,0.0,0.0,0.0
9,4,2.6943552867198854,0.0,0.5388710573439771
9,5,0.0,0.0,0.0
9,6,0.0,0.0,0.0
9,7,0.0,0.0,0.0
9,8,0.0,0.0,0.0
9,9,0.7740758333333329,0.0,0.15481516666666656
9,10,0.9661183333333341,0.0,0.19322366666666682
9,11,0.43728500000000015,0.0,0.08745700000000003
9,12,0.0,0.0,0.0
9,13,1.0723125000000002,0.0,0.21446250000000006
9,14,0.9804000000000004,0.0,0.1960800000000001
9,15,0.6063154696514585,0.0,0.12126309393029171
9,16,0.48750833333333343,0.0,0.09750166666666668
9,17,0.0,0.11945614035087626,-0.02389122807017525
9,18,0.0,0.0,0.0
9,19,0.0,0.4438771929824554,-0.08877543859649109
9,20,0.0,5.0,-1.0
9,21,0.0,1.832701754385965,-0.366540350877193
9,22,0.0,1.9362807017543866,-0.3872561403508773
9,23,0.0,0.0,0.0
10,0,0.0,0.0,0.0
10,1,0.995857837351922,0.0,0.1991715674703844
10,2,0.0,0.0,0.0
10,3,2.3163015068534216,0.0,0.4632603013706843
10,4,0.0,0.0,0.0
10,5,0.0,0.0,0.0
10,6,0.0,0.0,0.0
10,7,0.0,0.0,0.0
10,8,0.0,0.0,0.0
10,9,0.4558258333333338,0.0,0.09116516666666677
10,10,0.42191083333333346,0.0,0.08438216666666669
10,11,0.2050258333333339,0.0,0.04100516666666678
10,12,0.6239916666666669,0.0,0.12479833333333339
10,13,0.14006166666666608,0.0,0.028012333333333216
10,14,0.5098016666666672,0.0,0.10196033333333343
10,15,0.250372500000001,0.0,0.0500745000000002
10,16,0.0824600000000002,0.0,0.01649200000000004
10,17,0.0,0.009140350877193448,-0.0018280701754386896
10,18,0.0,0.19508771929824498,-0.03901754385964899
10,19,0.0,0.9137017543859649,-0.18274035087719298
10,20,0.0,1.7633859649122803,-0.35267719298245603
10,21,0.0,1.150561403508772,-0.23011228070175438
10,22,0.0,0.9128596491228071,-0.18257192982456144
10,23,0.0,1.0568725021000809,-0.21137450042001618
11,0,0.0,0.0,0.0
11,1,0.0,0.0,0.0
11,2,0.0,0.0,0.0
11,3,0.0,0.0,0.0
11,4,0.0,0.0,0.0
11,5,0.0,0.0,0.0
11,6,0.0,0.0,0.0
11,7,0.0,0.0977941827872062,-0.01955883655744124
11,8,0.0,0.0,0.0
11,9,0.5839016666666668,0.0,0.11678033333333335
11,10,0.6598066666666664,0.0,0.1319613333333333
11,11,0.8950266666666673,0.0,0.17900533333333346
11,12,1.1989791666666676,0.0,0.2397958333333335
11,13,1.1056416666666675,0.0,0.2211283333333335
11,14,0.9826166666666669,0.0,0.19652333333333338
11,15,0.7761500000000003,0.0,0.15523000000000006
11,16,0.5589166666666676,0.0,0.11178333333333353
11,17,0.0,0.0,0.0
11,18,0.0,0.9069824561403514,-0.18139649122807028
11,19,0.0,0.4737017543859645,-0.0947403508771929
11,20,0.0,0.9192982456140344,-0.1838596491228069
11,21,0.0,2.846911650546126,-0.5693823301092251
11,22,0.0,0.7584035087719299,-0.15168070175438597
11,23,0.0,0.7579473684210525,-0.1515894736842105
12,0,0.0,0.0,0.0
12,1,0.0,0.0,0.0
12,2,0.0,0.0,0.0
12,3,0.0,0.0,0.0
12,4,0.0,0.0,0.0
12,5,0.0,0.0,0.0
12,6,0.0,0.0,0.0
12,7,0.0,0.0,0.0
12,8,0.0,0.0,0.0
12,9,0.0,0.0,0.0
12,10,0.0,0.0,0.0
12,11,0.0,0.0,0.0
12,12,0.0,0.0,0.0
12,13,0.0,0.0,0.0
12,14,0.0,0.0,0.0
12,15,0.0,0.0,0.0
12,16,0.0,0.0,0.0
12,17,0.0,0.0,0.0
12,18,0.0,0.0,0.0
12,19,0.0,0.0,0.0
12,20,0.0,0.0,0.0
12,21,0.0,0.0,0.0
12,22,0.0,0.0,0.0
12,23,0.0,0.0,0.0
13,0,0.0,0.0,0.0
13,1,0.0,0.0,0.0
13,2,0.0,0.0,0.0
13,3,0.0,0.0,0.0
13,4,0.0,0.0,0.0
13,5,0.0,0.0,0.0
13,6,0.0,0.0,0.0
13,7,0.0,0.0,0.0
13,8,0.0,0.0,0.0
13,9,0.0,0.0,0.0
13,10,0.0,0.0,0.0
13,11,0.0,0.0,0.0
13,12,0.0,0.0,0.0
13,13,0.0,0.0,0.0
13,14,0.0,0.0,0.0
13,15,0.0,0.0,0.0
13,16,0.0,0.0,0.0
13,17,0.0,0.0,0.0
13,18,0.0,0.0,0.0
13,19,0.0,0.0,0.0
13,20,0.0,0.0,0.0
13,21,0.0,0.0,0.0
13,22,0.0,0.0,0.0
13,23,0.0,0.0,0.0
